Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,fragC,nAcid,apol,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nBase,nB,bpol,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-5,SCH-6,SCH-7,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,ECCEN,FMF,nHBDon,nHBAcc,HybRatio,khs.sCH3,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.ssNH,khs.dsN,khs.aaN,khs.sssN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.sF,khs.ssS,khs.ddssS,khs.sCl,Kier1,Kier2,Kier3,nAtomLC,nAtomP,LipinskiFailures,nAtomLAC,MLogP,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEO-11,MDEO-12,MDEN-22,PetitjeanNumber,topoShape,nRotB,TopoPSA,VAdjMat,VABC,MW,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,WPOL,XLogP,Zagreb,mp (°C)
Mol1,2.5095,6.29759025,45.1044,11.99856245,34.97105731,-0.172315132,0.143910705,6.615495816,10.15538141,72.03,0,19.100379,6,6,12,0.087080837,-0.01203801,-0.045858323,0.003529926,0.010825988,32.13884972,14.85531192,23.71062384,38.13652365,17.56826183,607.0662099,666.5863021,835.0962262,656.5137118,200.3850017,0,9,4.539621,0,6,0,0,0,0,0,0,0.068041382,0.204124145,0,0.024056261,0.081831709,0.663854611,0,0.272165527,0,0.469063513,0,0.185576872,0,6.853371151,4.215214055,3.744588185,3.114068787,1.848425766,1.072102901,0.526099421,0.136082763,6.633731065,3.444857064,2.728005647,2.13507613,1.000915397,0.457046576,0.225522375,0.061858957,1.733969088,1.979392051,2.190389772,1.208891388,1.207500189,1.143612001,63,0.666666667,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.111111111,2.722222222,1.469387755,0,6,0,0,1.79,0,0,0,0,2.381101578,4.585756412,0,2.381101578,0,0,0,0,0.25,0.333333333,0,0,4.169925001,126.799735,179.9300332,17.38253322,1.931392579,7.466759451,0,0,82,11,2.547,42,52.6
Mol2,2.5095,6.29759025,45.1044,11.99856245,34.97105731,-0.17786663,0.124169574,6.370548304,9.182254324,72.03,0,19.100379,6,6,12,0.079473139,-0.015427049,0.001260546,-0.06128315,0.035713084,32.13884972,14.85531192,23.71062384,20.71062384,34.99416164,588.4987577,640.4781031,789.5574288,583.5227403,283.422906,0,9,4.539621,0,6,0,0,0,0,0,0,0.068041382,0.204124145,0,0.024056261,0.081831709,0.866025404,0,0,0,0.56694671,0,0,0,6.853371151,4.18154055,4.022621928,2.414213562,2.349335306,0.98559856,0.696923425,0,6.633731065,3.432890936,2.896973714,1.481980506,1.393014894,0.427810922,0.324377703,0,1,1.995781916,1.747400241,0.56694671,1.111920656,0.834332279,63,0.666666667,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.111111111,2.722222222,2,0,6,0,0,1.79,0,0,0,0,1.5,6.240251469,0,1.5,0,0,0,0,0.25,0.333333333,0,0,4.169925001,126.799735,179.9300332,17.38171618,1.931301798,7.483714543,0,0,84,9,2.547,42,63.4
Mol3,0.1509,0.02277081,93.4185,11.9,15.9969305,-0.392533634,0.206733624,4.819645873,12.609025,2697.03,0,59.36979,0,0,54,0.319907863,-0.081619581,-0.07027853,0.020262878,0.026243532,26.32340711,27.99627593,45.99255186,53.32464384,53.3171957,2184.938694,2756.815244,4436.374421,4846.464495,4185.764262,0,27,34.71221,0,3,1,3,8,4,2,0.083333333,0.384805741,0.984707213,0.083333333,0.349072856,0.785933318,2.855590539,0.23570226,1.079464838,0.19443432,2.18094337,0.219913203,0.854675794,0.165466547,17.2756564,11.27052805,11.57085945,10.04574413,9.321354732,7.311909496,5.572416412,4.151144559,15.17755926,9.695704712,9.406038935,8.38400239,7.354963123,5.531442404,4.125131584,3.0013112,6.853364555,12.94372695,19.13236138,5.499117684,9.840353505,13.52223486,429,0.708333333,1,3,0.80952381,3,7,1,0,5,3,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,17.41563786,5.75,2.405680473,2,4,0,0,3.44,0.520020956,5.396514023,6.458030257,2.112473971,7.95950361,21.11935664,5.763552029,9.050330552,6.788339318,0.388067491,0,0,0.454545455,0.833333333,1,54.37,5.584962501,340.807605,330.2194951,49.21021885,2.050425785,7.551241105,7.551241105,0,1149,51,2.741,142,222.0
Mol4,1.5135,2.29068225,88.3621,11.99615144,15.99826463,-0.386831155,0.131177298,5.036035915,12.01561924,1939.02,0,52.807032,6,6,46,0.140645334,-0.050557187,-0.021998538,0.00659458,0.00846129,23.54893807,25.66418395,41.66045989,48.32464384,37.32836791,1874.598468,2345.348556,3711.653488,3939.372626,3001.295699,0,25,26.236968,0,4,2,1,6,4,1,0.072168784,0.459775766,1.068622394,0.072168784,0.34706119,0.712453977,2.337295093,0.227062073,1.221240461,0.448623438,1.56142044,0.141590543,0.726252632,0.199757746,15.53516943,10.48311201,10.26274184,9.772543288,8.030205596,6.554190725,5.054751371,3.951612792,13.17851976,8.503344581,7.798061397,7.100474364,5.821907213,4.507002304,3.241037306,2.388598417,6.615322006,10.85217165,14.68499701,4.298525049,7.022810011,9.252619701,399,0.772727273,2,1,0.666666667,1,6,0,3,3,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,15.5232,5.25,2.111111111,1,7,0,0,3.44,0.25,4.584939419,2.309574272,2.149139864,12.36495959,21.39890578,6.786930163,6.631975708,3.327536019,0.1,0,0,0.454545455,0.833333333,0,40.46,5.459431619,298.5484763,296.1776302,45.56093627,2.070951649,5.07608676,5.07608676,0,941,46,3.493,130,235.0
Mol5,3.1132,9.69201424,93.4252,11.85,12.15027013,-0.182512209,0.120933386,7.21006506,11.60992021,916,0,43.201516,20,24,32,0,0,0,0,0,20,24,36,40,35,1749.967125,2190.577776,3363.400903,3642.681366,2989.4709,0,24,13.118484,0,12,8,0,0,0,0,0,0.307846747,0.675262247,0,0.111542902,0.208587795,1.161054416,0,0.372661562,0,0.602670901,0,0.14105679,0,13.10408353,9.915816238,9.12849189,8.624007833,8.139026778,7.586108676,5.710682232,4.732193193,10.92820323,6.970084679,5.453738644,4.370903899,3.489493841,2.740077126,1.738704623,1.20947721,3.453325355,6.685785065,11.09745867,1.514965967,2.47072166,3.452795162,318,1,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53472222,4.75,1.820826446,0,20,1,0,3.66,0,0,0,0,17.65484567,31.87877377,0,13.08233361,0,0,0,0,0.444444444,0.8,0,0,5.321928095,211.8292707,252.0939005,43.29753376,2.164876688,0,0,0,680,40,5.956,120,179.0
Mol6,-0.2287,0.05230369,40.5048,11.9935119,15.99591919,-0.337126932,0.290638205,4.076400826,8.033384108,199.03,1,19.691551,6,6,17,0.211971636,-0.11265642,0.015098253,0.007444196,0.004425558,11.90891837,10.83036589,14.77101686,12.66073177,7.494549842,439.9355052,478.730556,591.3928666,463.8459087,215.0320854,0,10,7.950449,1,5,1,0,0,0,0,0,0.083333333,0.131445856,0,0.027777778,0.029926396,0.788675135,0,0.166666667,0,0.225201925,0,0.015214515,0,7.560477932,4.698377303,4.263968845,3.003322558,1.952529745,1.449135293,0.919957418,0.19245009,5.242213232,2.787773283,1.927161032,1.157634178,0.62569656,0.389735758,0.142169651,0.02376283,1.448688405,1.404193779,1.498266827,0.331329274,0.27626676,0.249202295,88,0.6,2,3,0,0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8.1,3.408284024,2.285714286,2,10,0,0,1.9,0,0,0,0,3.301927249,7.065551058,0,1.310370697,0,0.5,0,0,0.5,1,1,63.32,4.321928095,124.4032712,137.0476785,19.38570823,1.938570823,7.326862395,4.818142682,2.508719712,120,11,-0.143,46,187.8
Mol7,-0.5024,0.25240576,49.6951,11.89,31.97207164,-0.279094173,0.262685655,5.501359648,10.90750484,420.05,0,28.118723,0,0,24,0.378453246,-0.194716875,0.16010166,-0.322502531,0.168103557,21.39665171,15.99869689,25.69036186,29.99339783,27.65707198,858.5965046,981.4408742,1376.156545,1404.886734,833.5528618,0,13,17.061277,2,0,0,2,2,0,1,0,0.048112522,0.212378949,0,0.013975425,0.042586009,1.22130082,0.083333333,0.537457479,0.11785113,0.614738371,0.0625,0.06159991,0.012757759,10.06047793,6.063714582,5.318941406,4.79122366,3.902297033,1.655659678,1.2261013,0.272165527,7.99442032,4.38503052,3.158795401,2.427027545,1.320833104,0.630760249,0.383282143,0.047597186,3.492677787,5.975113221,5.405399413,1.345953963,1.558654275,0.992071144,111,0.461538462,1,4,0.625,2,2,0,0,0,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,11.07692308,4.022160665,1.775147929,1,8,0,0,1.79,0.25,2.309401077,1.686865331,1,0.5,2.381101578,2,1.5,2.080083823,0.25,0,0.5,0.5,1,2,96.61,4.700439718,183.4232694,199.0541237,25.01438881,1.924183754,13.44623812,5.03787401,5.901587021,220,23,0.666,64,180.0
Mol8,-0.6307,0.39778249,43.1471,11.89,15.9969237,-0.279896599,0.285267562,4.348650274,10.52100371,469.05,0,26.687516,0,0,25,0.471888238,-0.238614271,0.227690508,-0.456029326,0.23976221,16.04336771,14.66100366,22.57037451,27.31801137,22.75551792,685.1968735,788.3993083,1111.754609,1134.302749,641.6736407,0,13,17.312484,2,0,0,2,2,0,1,0,0.048112522,0.212378949,0,0.015625,0.041233726,1.22130082,0.083333333,0.537457479,0.11785113,0.579869804,0.0625,0.12319982,0.025515518,10.06047793,6.063714582,5.318941406,4.79122366,3.902297033,1.655659678,1.2261013,0.272165527,7.638958434,4.233692779,3.026585998,2.530521524,1.472098329,0.507630381,0.258649582,0.06223637,3.492677787,5.975113221,5.405399413,1.522383707,1.954309714,1.060560842,111,0.461538462,2,5,0.625,2,2,0,0,0,3,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,11.07692308,4.022160665,1.775147929,2,8,0,2,1.79,0.25,2.309401077,1.686865331,1,0.5,2.381101578,2,1.5,2.080083823,0.75,0,0.5,0.5,1,2,75.27,4.700439718,175.0227014,184.0847923,25.01438881,1.924183754,13.44623812,7.544651096,5.901587021,220,23,0.433,64,227.5
Mol9,-0.486,0.236196,57.8838,11.9,15.99692672,-0.278455611,0.331599937,4.622157581,11.63275503,817.05,0,35.727895,0,0,32,0.538211619,-0.342551487,0.335425985,-0.522592158,0.310301783,20.04336771,19.8271856,30.57037451,37.14837726,31.75551792,1108.49608,1317.525575,1920.30958,2033.010113,1492.751188,0,18,22.572105,2,1,1,1,4,0,1,0,0.141345783,0.270130047,0,0.072168784,0.036084392,1.539505774,0.096225045,0.998836285,0.17170946,0.697009018,0.0625,0.207453797,0.036926405,12.62939203,7.975086309,7.462784876,6.939366621,5.033049125,3.615565989,2.053556311,1.173421276,9.577735861,5.307276442,4.157663193,3.006625606,1.915685791,1.198709531,0.4961539,0.280289147,4.838243486,7.532341226,10.86757624,1.451705176,1.866942478,1.975022484,212,0.705882353,0,5,0.583333333,2,4,1,0,0,4,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,13.43209877,4.938271605,2.171745152,0,8,0,0,2.23,0.25,2.159398003,3.084421651,1.154700538,6.083643419,5.907050127,1.850535862,2.672696154,3.039342743,0.75,0,0,0.5,1,1,54.45,5.087462841,227.8954932,235.1082675,33.72060405,1.983564944,13.67101798,7.544963277,6.126054706,458,32,1.354,90,278.0
Mol10,-1.5931,2.53796761,49.7975,11.89,15.99692521,-0.279896269,0.285274067,4.387946575,11.14975391,751.05,0,32.874688,0,0,31,0.4718881,-0.238615286,0.227683527,-0.456049161,0.239830654,18.04336771,16.66100366,24.57037451,29.31801137,28.75551792,844.3295299,966.66227,1342.390713,1422.380319,1054.008766,0,15,21.685312,2,0,0,2,4,0,1,0,0.048112522,0.212378949,0,0.015625,0.041233726,1.22130082,0.083333333,0.537457479,0.11785113,0.579869804,0.0625,0.12319982,0.025515518,11.47469149,7.063714582,6.111834624,4.905630739,4.299952403,2.793627165,1.420136894,0.634676735,9.053171996,5.233692779,3.819479217,2.676968134,2.01254734,1.159977831,0.461623487,0.162823232,3.254540214,5.6633957,7.045894765,1.324160402,2.001913885,1.914518814,153,0.4,2,5,0.7,2,4,0,0,0,3,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,13.06666667,5.365079365,2.571428571,3,8,0,3,2.01,0.166666667,3.181082915,1.310370697,0.666666667,2.941682753,4.008290259,2.828427125,1.5,2.080083823,0.75,0,0.5,0.428571429,0.75,4,75.27,4.906890596,209.6146707,212.1160925,29.03134687,1.935423125,13.51594344,7.585880687,5.93006275,338,25,1.571,72,160.7
