rvmRadial,rvmPoly,svmRadial,svmPoly,gaussprRadial,gaussprPoly,nnet,knn,treebag,rf,cubist,pls,pcr,ens_greedy,ens_linear
0.832567522,0.801978312,0.719325389,0.751765047,0.707489016,0.746091525,0.777767398,0.832868607,0.712691173,0.768543763,0.767444051,0.70582424,0.682906212,0.811880516,0.850233716
0.31972696,0.388414422,0.713517793,0.414196457,0.537351034,0.441181683,0.374353333,0.681630361,0.3498905,0.416538161,0.60824522,0.450929408,0.459020044,0.512565855,0.55645329
0.510240948,0.658572579,0.682352345,0.765654836,0.637869456,0.785989096,0.630301923,0.427294887,0.595975907,0.747901875,0.594484541,0.593676667,0.583143593,0.701374447,0.687845609
0.73163373,0.750494658,0.709729172,0.676699823,0.683786527,0.737770704,0.101261815,0.590083887,0.649365206,0.513168326,0.708045584,0.657745299,0.674328072,0.711642719,0.809272785
0.524951337,0.604526908,0.632527996,0.641238799,0.601012211,0.558926633,0.368567247,0.456547682,0.261513171,0.19893905,0.707940455,0.657432642,0.646018083,0.630579975,0.45506582
0.29737197,0.177495537,0.437493915,0.073329024,0.313915039,0.059229903,0.089783523,0.066404093,0.112521101,0.042243307,0.048388011,0.073962141,0.067480488,0.380887187,0.120481935
0.762665619,0.835204262,0.693301307,0.790268546,0.838614156,0.664197343,0.587448002,0.557854598,0.505797682,0.619725245,0.776401523,0.809626274,0.718828746,0.770764095,0.554810811
0.384905538,0.371929666,0.658373787,0.51834094,0.427805666,0.628045318,0.537669125,0.557307656,0.331691046,0.379296599,0.373902978,0.418587675,0.457988685,0.60444203,0.741478267
0.5416336,0.758332979,0.755808979,0.713726794,0.719760743,0.712014558,0.595909716,0.579277991,0.487392364,0.670559889,0.769932046,0.732685498,0.733689886,0.823432461,0.789929279
0.715539684,0.791542462,0.747225189,0.803662987,0.814386898,0.827448575,0.774094947,0.579736203,0.751412175,0.680975991,0.877071271,0.838398787,0.859139577,0.857249697,0.875414094
0.474949956,0.342537057,0.15887375,0.226795446,0.248816843,0.240386433,0.222990275,0.15226227,0.000220624,0.03437042,0.289656189,0.246549148,0.329374493,0.286593632,0.296606444
0.588430968,0.641661241,0.468986586,0.737761371,0.714151478,0.109700181,0.554031651,0.653490065,0.548922532,0.567918785,0.520115012,0.721479758,0.676987055,0.571739527,0.547412281
0.585653806,0.668160176,0.635758384,0.73540631,0.792071213,0.760232925,0.721919262,0.562261326,0.565679534,0.675689804,0.71345138,0.771197384,0.731205733,0.731657971,0.682499574
0.002108632,0.798760364,0.225217687,0.634253103,0.372331929,0.657094075,0.178384256,0.571393657,0.613369839,0.665713842,0.584241072,0.707388683,0.703296009,0.769054254,0.835587871
0.27934513,0.534980925,0.098831822,0.297968503,0.414411331,0.266829461,0.000319893,0.096677086,0.261882367,0.133241614,0.412321598,0.49480358,0.411740936,0.173288391,0.155838247
0.360500006,0.666304778,0.8560781,0.783152511,0.711654872,0.699244009,0.615430049,0.786932397,0.793986527,0.838393824,0.805086327,0.673481288,0.664568463,0.76080694,0.907885715
0.350984461,0.619799938,0.54674308,0.694923166,0.668655208,0.67822209,0.332473055,0.688468164,0.037298543,0.259317834,0.493082136,0.557343738,0.645147881,0.705720203,0.857725892
0.337821783,0.807467337,0.585815249,0.837109239,0.82090915,0.698311745,0.460726743,0.477324881,0.614051792,0.616286866,0.826415502,0.81169837,0.791329737,0.650039521,0.50314939
0.594282151,0.471924257,0.590778716,0.534231396,0.501053567,0.615358993,0.371507046,0.541112523,0.71241805,0.588506529,0.613167818,0.497045784,0.518342498,0.645247328,0.655010064
0.528405931,0.683289573,0.68867488,0.548198147,0.666966799,0.6514566,0.594909986,0.705128812,0.356514134,0.478254045,0.599726394,0.642074456,0.604612223,0.679400782,0.724628605
0.744660954,0.439526552,0.592707322,0.429330883,0.506623083,0.632165671,0.335432222,0.5770836,0.622540577,0.40470503,0.489899131,0.517456313,0.534102611,0.631761455,0.545179179
0.604639951,0.662695177,0.865701079,0.596892752,0.698288477,0.575337371,0.599546112,0.752645964,0.614133152,0.669294519,0.768790442,0.577577012,0.634553144,0.70330977,0.573928845
0.796107032,0.627875062,0.666745356,0.451155158,0.598504409,0.588214208,0.591941432,0.689621269,0.707727711,0.649908677,0.640009169,0.560869692,0.605819469,0.636578376,0.652884077
0.354682357,0.362716683,0.311960264,0.405187132,0.408144432,0.380849559,0.227705354,0.317196379,0.514100158,0.50728336,0.500274403,0.408930263,0.401787726,0.463620812,0.344669248
0.708539156,0.479775391,0.643116316,0.607018719,0.635486525,0.60876309,0.775775449,0.511423604,0.371823238,0.438205417,0.578959168,0.593779073,0.651359539,0.675325072,0.688411265
