description,statistic,Non-Inflamed,Inflamed,test
Sex,,,,
   female,60 (52.63%),35 (47.3%),25 (62.5%),
   male,54 (47.37%),39 (52.7%),15 (37.5%),
   Missing (%),0 (0%),0 (0%),0 (0%),0.175
Age,,,,
   Mean (SD),42.74 (13.62),41.3 (13.92),45.4 (12.77),
   Median (IQR),44 (30-53),42.5 (29-52),48.5 (35.25-55),
   Missing (%),0 (0%),0 (0%),0 (0%),0.125
BMI,,,,
   Mean (SD),27.16 (6.15),24.95 (4.29),31.23 (7),
   Median (IQR),26.1 (22.3-30.55),24.7 (21.8-27.5),31.2 (26.55-33.15),
   Missing (%),0 (0%),0 (0%),0 (0%),<0.001
Social class,,,,
   lower-class,5 (4.39%),11 (14.86%),7 (17.5%),
   lower middle-class,21 (18.42%),21 (28.38%),13 (32.5%),
   middle middle-class,54 (47.37%),40 (54.05%),27 (67.5%),
   upper middle-class,21 (18.42%),26 (35.14%),8 (20%),
   Missing (%),13 (11.4%),8 (10.81%),5 (12.5%),0.179
Country of Origin,,,,
   Germany,92 (80.7%),69 (93.24%),35 (87.5%),
   Other,10 (8.77%),13 (17.57%),9 (22.5%),
   Missing (%),12 (10.53%),8 (10.81%),4 (10%),0.499
Ethnicity,,,,
   German,91 (79.82%),67 (90.54%),36 (90%),
   Other,11 (9.65%),15 (20.27%),8 (20%),
   Missing (%),12 (10.53%),8 (10.81%),4 (10%),1
Employment status,,,,
   Employed,58 (50.88%),49 (66.22%),26 (65%),
   Retired,4 (3.51%),13 (17.57%),8 (20%),
   Unemployed,35 (30.7%),32 (43.24%),20 (50%),
   Missing (%),17 (14.91%),10 (13.51%),7 (17.5%),0.844
BDI,,,,
   Mean (SD),32.38 (7.82),32.15 (7.87),32.8 (7.83),
   Median (IQR),32 (27-38),32 (27-37.75),32.5 (27-38.25),
   Missing (%),0 (0%),0 (0%),0 (0%),0.673
MADRS,,,,
   Mean (SD),26.21 (5.44),26.85 (5.01),24.92 (6.09),
   Median (IQR),26 (22.5-30),27 (23-30),24 (22-27),
   Missing (%),3 (2.63%),0 (0%),3 (7.5%),0.078
BSI: Depression,,,,
   Mean (SD),2.76 (0.88),2.68 (0.91),2.89 (0.8),
   Median (IQR),2.83 (2.04-3.33),2.75 (1.83-3.33),3 (2.29-3.38),
   Missing (%),0 (0%),0 (0%),0 (0%),0.23
Hospitalisation in,,,,
   Day-clinic,29 (25.44%),15 (20.27%),14 (35%),
   Ward,85 (74.56%),59 (79.73%),26 (65%),
   Missing (%),0 (0%),0 (0%),0 (0%),0.134
Number of psychiatric diagnoses,,,,
   Mean (SD),5.17 (2.9),5.21 (3.12),5.11 (2.46),
   Median (IQR),5 (3-7),5 (3-8),5 (3-7),
   Missing (%),3 (2.63%),1 (1.35%),2 (5%),0.864
